Sl. No.,Classification,Name and address of the industry,Latitude,Longitude,Remarks,Source
55,"Bulk Drug and
Pharmaceuticals","Gland Chemicals Private Limited, Plot No. 30A &B, KIADB Industrial Area, Malur,
Kolar District",12.98335077,77.91864624,,KSPCB 17 Category List
56,Bulk Drug and Pharmaceuticals,"Activz  Life Sciences (I) Privated Limited (Formerly ri Sai Amrutha Pharma Private
Limited), Plot No. 53,54,73 & &4, KIADB Indutrial Area, Raichur Growth Centre, Raichur",16.31033044,77.35449859,,KSPCB 17 Category List
57,Bulk Drug and Pharmaceuticals,"Larsen Pharma Ltd., (Previously Sasank Biotech Limited,) Plot No. 120 to 124, KIADB Industrial Area, Raichur Growth Centre, Raichur",16.20926561,77.34600972,Not exact location,KSPCB 17 Category List
58,"Bulk Drug and
Pharmaceuticals","Sparkvee Fine Chemicals Private Limited, Plot No. 55,56,71 & 72, KIADB Industrial
Area, Raichur Growth Centre, Raichur",16.30893696,77.35595815,,KSPCB 17 Category List
59,"Bulk Drug and
Pharmaceuticals","Eurofins Advinus Biopharma Services India Private Limited(Gomti Pharma Chem),
Plot No. 17F, KIADB Industrial Area, Bidadi, Ramaqnagaram Taluk and District",12.81318331,77.42553331,,KSPCB 17 Category List
60,Bulk Drug and Pharmaceuticals,"Shreegen  Pharma, Plot No. 135 F , Kolhar Industrial Area, Bidar",17.90980042,77.46003849,,KSPCB 17 Category List
61,"Bulk Drug and
Pharmaceuticals","Suryakala Laboratories, Plot No. 131, Kolhar Industrial Area, Bidar",17.90803607,77.46141218,,KSPCB 17 Category List
62,"Bulk Drug and
Pharmaceuticals","SN2 Asymmetric Private Limited, Plot No.94, Kolhar Industrial Area, Bidar",17.90042263,77.45824213,,KSPCB 17 Category List
63,"Bulk Drug and
Pharmaceuticals","Syntho chiral Private Limited, Plot No.53B and 54P, Kolhar Industrial Aerea, Bidar",17.91271855,77.46392468,,KSPCB 17 Category List
64,"Bulk Drug and
Pharmaceuticals","Sri Lakshmi Chemicals Private Limited,  Plot No.73D, Kolhar Industrial Aerea, Bidar",17.91127197,77.45667613,,KSPCB 17 Category List
65,"Bulk Drug and
Pharmaceuticals","Wholer Laboratories  Private Limited,  Plot No.123 & 124, Kolhar Industrial Aerea,
Bidar (Location for Hoogar Pharmaceuticals is being put here)",17.90688615,77.46090119,Couldn't find Wholer laboratories on XGN portal too,KSPCB 17 Category List
66,Bulk Drug and Pharmaceuticals,"Hexagon Bio Pharma (P) Ltd., Plot No.11-D, KIADB, Indl, Arear, Doddaballapur",13.25812045,77.55795038,,KSPCB 17 Category List
67,"Bulk Drug and
Pharmaceuticals","Samarth Life sciences oPvt Ltd., Plot No. 191 A, Vasantha Narasapura KIADB
Industrial Area, Tumkur-572 106.",13.49244745,77.02660226,,KSPCB 17 Category List
68,"Bulk Drug and
Pharmaceuticals","Raichem Medicare Private Limited, Plot No.25 & 26, KIADB Industrial Area,
Raichur Growth Centre, Raichur",16.31385839,77.35826128,,KSPCB 17 Category List
69,"Bulk Drug and
Pharmaceuticals","V P L Chemicals Private Limited, Plot No.64, KIADB Industrial Area, Somapura,
Dabaspet, Nelamangala Taluk, Bangalore Rural District",13.2256776,77.26561904,,KSPCB 17 Category List
70,"Bulk Drug and
Pharmaceuticals","Kumar Organics Products (p) Ltd.,  Plot No.60/65, Road No.3,,Jigani Industrial Area,
Anekal Taluk, Bangalore.",12.76864889,77.64082667,,KSPCB 17 Category List
71,"Bulk Drug and
Pharmaceuticals","Jayanth Life Sciences Private Limited, Plot No. 29P(1), KIADB Industrial Area,
Raichur Growth Centre, Raichur",16.31558586,77.35419179,,KSPCB 17 Category List
72,"Bulk Drug and
Pharmaceuticals","Phona Lab Shed No.76A & 77, KSSIDC Industrial Area, Metagalli Post, Hebbal,
Mysore-16",12.344678,76.628114,Couldn't find it on XGN too,KSPCB 17 Category List
73,"Bulk Drug and
Pharmaceuticals","Ksatriya Laboratories Private Limitd, Plot No 106 & 107/A KIADB Industrial Area,
Humnabad, Bidar district",17.76250478,77.09117543,,KSPCB 17 Category List
74,"Bulk Drug and
Pharmaceuticals","SRC laboratories Private Limited, Plot No. 198 & 199 KIADB Industrial Area,
Raichur Growth Centre, Raichur",16.31449633,77.35215097,,KSPCB 17 Category List
75,Bulk Drug and Pharmaceuticals,Phikon Bio Tech Private Limited Yashavanthapura Bangalore (Phyto Biotech),13.0250302,77.5340242,"Phyto Biotech Pvt Ltd.
#93, Ambati Mansion
Karthik Nagar, Outer Ring Road
Marathahalli
Bangalore - 560 037
Karnataka, India.",KSPCB 17 Category List
76,"Bulk Drug and
Pharmaceuticals","Anthem Biosciences Private Limited, Plot No.276 P, 277 P II Phase Harohalli
Industrial Area Kanakapura taluk Ramnagar district",12.6733403,77.43817558,,KSPCB 17 Category List
77,"Bulk Drug and
Pharmaceuticals","Seutic Labs Private Limited (Formerly Vasista Life Science Private Limited) Plot No
4P2 Kiadb Ind Area Humnabad Bidar",17.76640801,77.0993663,,KSPCB 17 Category List
78,"Bulk Drug and
Pharmaceuticals","Lakhmi Durga Intermediates Private Limited Plot No. 94,95, Humnabad Industrial
Area Bidar (Current coordinates are for Sri Lakshmi Drugs and Chemicals Pvt.Ltd)",17.91187429,77.45670831,,KSPCB 17 Category List
79,"Bulk Drug and
Pharmaceuticals","Millennium Chemi Pharma (Mysore Private Limited Plot No 49 Mysore-Belagola
Industrial area Metagalli Mysore",12.3614316,76.6255177,,KSPCB 17 Category List
80,"Bulk Drug and
Pharmaceuticals","RL Finechem Private Limited, Plot 27-29, KIADB Industrial Area, Gowribidanur,
Chikkaballapura district",13.70718748,77.50398305,,KSPCB 17 Category List
81,"Bulk Drug and
Pharmaceuticals","Gland Chemicals Private Limited, Plot No. 42B, KIADB Industrial Area, Malur,
Kolar District",12.98110353,77.92531501,,KSPCB 17 Category List
82,"Bulk Drug and
Pharmaceuticals","Raichur Laboratories Private Limited, Plot 126 to 129, Raichur Growth Centre,
KIADB Industrial Area, Raichur",16.30796754,77.35762617,,KSPCB 17 Category List
83,"Bulk Drug and
Pharmaceuticals","YMS Laboratories Private Limited Plot 99-102 Raichur Growth Center Chikasagur
Raichur",16.30981874,77.3517788,,KSPCB 17 Category List
84,"Bulk Drug and
Pharmaceuticals","Hikal Limited, No. 28, KIADB Ingani  Industrial Area, Jigani Hobli, Bangalore",12.76845978,77.63867497,,KSPCB 17 Category List
85,Bulk Drug and Pharmaceuticals,"Radison Labs Private Limited (Formerly Sahithi Drug & Intermedites Limited), Plot No. 108-B & 109, Humnabad Indl. Area, Bidar",17.76144914,77.09016788,,KSPCB 17 Category List
86,"Bulk Drug and
Pharmaceuticals","Lohitha Laboratories, Plot No. 187 & 188, Mundargi Indl. Area, 3rd Stage , KIADB,
Bangalore Road, Ballary",15.0970289,76.90096389,,KSPCB 17 Category List
87,"Bulk Drug and
Pharmaceuticals","Hema Laboratories,   Plot No. 125, Raichur growth Centre, Chikkasugur village,
Raichur",16.30834822,77.35583727,,KSPCB 17 Category List
88,"Bulk Drug and
Pharmaceuticals","Jaya Saketh Chemicals , Plot No. 189, KIADB Indl. Area, Mundargi Industrial Area,
Bangalore Road, Ballary",15.10390777,76.90433398,Not the exact location,KSPCB 17 Category List
89,"Bulk Drug and
Pharmaceuticals","Syngene International Limited,  Plot No:IP-39,IP-46 & IP-60,
IP-25 (part),& IP-61 (part),  Mangalore",12.98291415,74.85752714,,KSPCB 17 Category List
90,"Bulk Drug and
Pharmaceuticals","J.Y.Pharma Pvt Ltd.,Plot No.123 &  124,Raichur growth Centre Raichur taluk & Dist",16.30872414,77.3548473,,KSPCB 17 Category List
91,"Bulk Drug and
Pharmaceuticals","Stelis Biopharma Pvt Ltd.,No.2 D1, Obadenahalli,Doddaballapur,Bangalore",13.27930187,77.57926414,,KSPCB 17 Category List
92,"Bulk Drug and
Pharmaceuticals","K.G.N Industries., Plot No.93P & 94P,kiadb,2nd Stage,Mundargi Industries Area,
Bangalore Road,Ballari",15.21385492,76.92604406,The address says 'temporarily closed',KSPCB 17 Category List
93,"Bulk Drug and
Pharmaceuticals","Galaxy Chemicals.,Plot No.185 & 186,KIADB,2nd Stage Mundargi Indl Area,Bng
Road, Ballary",13.33278362,74.78408137,,KSPCB 17 Category List
94,Bulk Drug and Pharmaceuticals,"Biocon Biologics India Limited.No.2,3,4 & 5 Bommasandra Indl Area,4TH Phase Anekal,Bangalore",12.8241078,77.6739015,,KSPCB 17 Category List
95,"Bulk Drug and
Pharmaceuticals","Venus Chemicals & Drugs(P)Ltd.,Plot No.197(P),Raichur Growth Cenre,Chikasugur
Village Raichur",16.31288603,77.35185187,,KSPCB 17 Category List
96,"Bulk Drug and
Pharmaceuticals","Biocon Biologics India Limited, 20th Km, Hosur Raod, Hebbagodi Village, Bangalor",12.8465739,77.6755784,,KSPCB 17 Category List
97,"Bulk Drug and
Pharmaceuticals","Natural Capsules Limited.,Plot No.67, KIADB Indlu Area, Vasanthanarasapura Indl
Area, Phase-II, Tumkur Tq & Dist",13.50005264,77.03367831,Seems to be in Attibele Area too,KSPCB 17 Category List
98,Bulk Drug and Pharmaceuticals,"Aditya Pharmachemplot no.265,kadechur Indl Area,Yadgir",16.5363051,77.304101,,KSPCB 17 Category List
99,"Bulk Drug and
Pharmaceuticals","Sada Pharma Pvt Ltd.,Plot No.80-P1,KIADB Indul Area,Gadwanthi
village,Humnabad Hobli & Taluk,Bidar District",17.9103939,77.5199079,,KSPCB 17 Category List
