Sl. No.,Classification,Name and address of the industry,Latitude,Longitude,Remarks,Source
164,Sugar & Co-Gen,"Coromandal Sugars (Previously M/s.ICL Sugars), K.R.Pet, Mandya.",12.7037305,76.4216182,,KSPCB 17 Category List
165,Sugar & Co-Gen,"Shri Balaji Sugars and Chemicals Private Limited, Yargal and Madari villages,
Muddebihal Taluk, Vijayapura District",16.235021,76.161109,,KSPCB 17 Category List
166,Sugar & Co-Gen,"Godavari Biorefineries, P.O. Sameerwadi, Tal. Mudhol, Dist. Bagalkot.",16.3917899,75.0455376,,KSPCB 17 Category List
167,Sugar & Co-Gen,"Bannari Amman Sugars (Previously M/s. Mahadeshwara Sugars), Kunthur, Kollegal Taluk, Chamarajanagar District",12.1269471,77.0341631,,KSPCB 17 Category List
168,Sugar & Co-gen,"Sri. Chamundeswari sugars (previously M/s.Hemavathi SSK Ltd.), Srinivasapura,
Channarayapatna Taluk Hassan District.",12.9035322,76.3897978,,KSPCB 17 Category List
169,Sugar & Co-Gen,"Gokak sugars Limited, Kolavi-591344, Gokak Taluk, Belgaum District",16.1591849,74.8156199,,KSPCB 17 Category List
170,Sugar & Co-Gen,"Nirani Sugars, Kulali Cross, JKD Road, Mudhol, Bagalkot Taluk and  District.",16.3501565,75.2705102,,KSPCB 17 Category List
171,Sugar & Co-Gen,"Indian Cane Power Ltd., Uttur village, Mudhol Taluk, Bagalkote District",16.3332861,75.2858293,,KSPCB 17 Category List
172,Sugar & Co-Gen,"EID Parry( Iindia) Limited (Sadashiva Sugars), Nagaral village, Bagalkote Taluk &
District",16.3421765,75.1786148,,KSPCB 17 Category List
173,Sugar & Co-Gen,"Ugar Sugar Works (unit-2) Malli post, Jevargi Taluk, Glubarga District.",16.7738972,76.4837808,,KSPCB 17 Category List
174,Sugar & Co-Gen,"Pandavapura SSK Ltd., (Kothari Sugars and Chemicals), Pandavapura, Mandya Dist.",12.4928616,76.6642853,,KSPCB 17 Category List
175,Sugar & Co-Gen,"Shivshakthi Sugars Ltd, Mayoor Chitra Mandir Road, Ankali,Chikodi Taluk,
Belgaum Dist.",16.5409644,74.6722459,,KSPCB 17 Category List
176,Sugar & Co-Gen,"Manali Sugars Limited, Malgana village, Sindhagi Taluk, Bijapur District",16.9172558,76.2334278,,KSPCB 17 Category List
177,Sugar & Co-Gen,"Shiraguppi Sugar Works Limited,Kagwad village, Athani Taluk, Belgaum district",16.7107878,74.7225287,,KSPCB 17 Category List
178,Sugar & Co-Gen,"Dnyanyogi Sri Shivakumara Swamiji Sugars Ltd., Sri Siddeshwara nagar, Hirebevanur, Indi tq, Bijapur Dist.",16.8301708,75.710031,,KSPCB 17 Category List
179,Sugar & Co-Gen,"G.M. Sugars (Previously M/s. Karnataka SSK Ltd)., Haveri District",14.3775625,75.6116875,,KSPCB 17 Category List
180,Sugar & Co-Gen,"NSL Sugars (Lessee of M/s SSKN, Aland) Bhunsoor Post ? 585 302, Aland Taluk,
Gulbarga District.",17.5676275,76.5661622,,KSPCB 17 Category List
181,Sugar & Co-Gen,"Davangere Sugar Company Ltd., Kukkavada, Davangere Taluk and  District.",14.3301448,75.8818438,,KSPCB 17 Category List
182,Sugar & Co-Gen,"The Mahatma Gandhi SSK Niyamith, Bhalki Tq., Hulgi Village, Bidar Dist.",18.0503666,77.2183652,,KSPCB 17 Category List
183,Sugar & Co-Gen,"Naranja SSK, g n Nagar, Imampur village, BidarTaluk &  Disrict.",17.9738224,77.5160788,,KSPCB 17 Category List
184,Sugar & Co-Gen,"Sri Prabhulingeshwara Sugars & Chemicals Ltd., Bagalkote dist.",16.439681,75.2749247,,KSPCB 17 Category List
185,Sugar & Co-Gen,"Rytara Sahakari Sakkare Kharkhane, Ranna Nagar, Timmapur-587 122, Mudhol Tq,
Bagalkot-Dist.",16.3477804,75.2948448,,KSPCB 17 Category List
186,Sugar & Co-Gen,"NSL Sugars (Tungabhadra) Ltd.(Formely M/s. Siruguppa sugar & Chemicals Ltd.,)
Desanur ? 583 140, Siruguppa Tq, Bellary District.",15.6587606,76.8764517,,KSPCB 17 Category List
187,Sugar & Co-Gen,"The Krishna SSK Ltd.,Sankonatti village, Athani Taluk, Belgaum District.",16.6911938,75.0509774,,KSPCB 17 Category List
188,Sugar & Co-Gen,"Shree Someshwara SSK Limited, Siddasamudra village, Belawadi Post, Bailhongal
Taluk, Belgaum District",15.7038186,74.9181156,,KSPCB 17 Category List
189,Sugar & Co-Gen,"EID Parry(India)  Limited (GMR Dhanalaxmi) Khanpeth village, Ramdurg  Taluk
Belgaum  District",15.9500493,75.297485,,KSPCB 17 Category List
190,Sugar & Co-Gen,"Jamkhandi Sugars, unit-II, Nad, KD Post, Indi Taluk, Bijapur District",17.1196892,76.1055007,,KSPCB 17 Category List
191,Sugar & Co-Gen,"Sri Basaveswara Sugars Private Limited, Karjol village Vijayapur Taluk & District",16.8301708,75.710031,,KSPCB 17 Category List
192,Sugar & Co-Gen,"Om Sugars Ltd., Jainapur village, Chikkodi Tq , Belgaum Dist",16.3826136,74.5442861,,KSPCB 17 Category List
193,Sugar & Co-Gen,"Belagaum Sugars Pvt Ltd., Sy. No. 60/2, 65/1, 65/6, 69/1, 69/2, 69/3, 69/4, 69/5, 36,
Hudali village, Belagaumtaluk and  District.",15.9754546,74.6638309,,KSPCB 17 Category List
194,Sugar & Co-Gen,Mylar Sugar Limited Birabbi Hoovinahadagali taluk Ballary district,14.917401,75.794197,,KSPCB 17 Category List
195,Sugar & Co-Gen,"Bidar Kissan Shakkar Kharkhana Ltd.,   Modgal village, Bidar taluk & District",17.7107805,77.3972647,,KSPCB 17 Category List
196,Sugar & Co-Gen,Sathish Sugars Hunshyal P G village Gokak taluk Belgaum district,16.2430563,74.9038451,,KSPCB 17 Category List
197,Sugar & Co-Gen,"Shri Bhimashankar SSK Niyamit Dhulakhed and Maragur Indi taluk Vijayapura
district",17.3622858,75.8343557,,KSPCB 17 Category List
198,Sugar & Co-gen,Sovereign Industries Limited Terdal Jamkhandi taluk Bagalkot district,16.5043199,75.2917512,,KSPCB 17 Category List
199,Sugar & Co-gen,"MRN Cane Power (India) Limited., Kallapur Village, Kulageri , Hobli, Badami Taluk, Bagalkot District",15.918622,75.676082,,KSPCB 17 Category List
200,"Sugar, Co-gen and
distillery","Bhalkeshwara Sugars Ltd.,Bajola village, Balki Tq, Bidar Dist. (Distillery Division)",17.9103939,77.5199079,,KSPCB 17 Category List
201,"Sugar, Co-gen and
distillery","EID Parry India Limited, (GMR Industries) Hullahatti Haliyal taluk U K district",15.3306252,74.7658918,,KSPCB 17 Category List
202,"Sugar, Co-gen and distillery","Bannari Amman Sugars Ltd., Alaganchi Village, Nanjangud Taluk, Mysore District.",12.0937957,76.779096,,KSPCB 17 Category List
203,"Sugar, Co-gen and
distillery","Indian Sugar Manufacturing Co. Ltd., A/P Havinal , Indi Taluk, Bijapur District.",17.3487445,75.6789937,,KSPCB 17 Category List
204,"Sugar, Co-gen and
distillery","Shree Doodhganga Krishna SSK Distillery Division, Chikkodi Taluk, Belgaum
District.",16.5070966,74.6143019,,KSPCB 17 Category List
205,"Sugar, Co-gen and distillery","Shree Renuka Sugars Ltd., Manoli, Soundatti Taluk, Belgaum District",16.5493215,74.7073692,,KSPCB 17 Category List
206,"Sugar, Co-gen and
distillery","Gem Sugars Ltd., Kundargi village, Biligi taluk, Bagalkot Dist. 587 204.",16.2695548,75.53145,,KSPCB 17 Category List
207,"Sugar, Co-Gen and
distillery","Jamkhandi Sugars Ltd., Hirepadasalagi village, Nagnur Post, Jamkhandi Taluk,
Bagalkot Dist.",16.5043199,75.2917512,,KSPCB 17 Category List
208,"Sugar, Co-Gen and
distillery","KPR Sugar and Apparels Ltd., Chinamagera Village, Afzalpur Taluk, Kalaburagi
District.",17.2241615,76.5650433,,KSPCB 17 Category List
209,"Sugar, Co-gen and
distillery","The Nandi SSK Niyamit Krishnanagar (Chickagalagali), Post: Hosur ? 587 117,
Bijapur Tq. & Dist.",12.7409127,77.8252923,,KSPCB 17 Category List
210,"Sugar, Co-gen and
distillery","Venkateshwara Power Project Limited, Beddkihal, Chikkodi Taluk,  Belgaum District",16.5144823,74.4788235,,KSPCB 17 Category List
211,"Sugar, Co-gen and
distillery","KPR Sugar Mills Private Limited, Almel village, Sindhagi Taluk, Bijapur District",17.0908585,76.2174935,,KSPCB 17 Category List
212,"Sugar, Co-Gen and distillery","Shri Sai Priya Sugars Ltd., Mygur village & Hipparagi &  Albal village, Jamkhandi taluk, Bagalkot  District",16.5043199,75.2917512,,KSPCB 17 Category List
213,"Sugar, Co-gen and
distillery","Athani Farmers  Sugar Factory Limited,Vishnunagar village, Athani Taluk, Belgaum
District Belgaum.",16.7696,74.920147,,KSPCB 17 Category List
214,"Sugar, Co-gen and
distillery","Core Green Sugar & Fuels Private Limite, Tumkur Village, Shahapur Taluk, Yadgir
District.",16.6956754,76.8431564,,KSPCB 17 Category List
215,"Sugar, Co-gen and
distillery","Sri. Chamundeshwari Sugars-Distillery uni, Bhatathi nagar, Maddur Taluk, Mandya
District.",12.481939,77.0408518,,KSPCB 17 Category List
216,"Sugar, Co-gen and distillery","Sri. Hiranyakeshi SSK Niymait  (Distillery Unit), Sankeshwara ? 591 314, Belgaum District.",16.2504062,74.4783898,,KSPCB 17 Category List
217,"Sugar, Co-gen and distillery","Ugar Sugar Works,Ugarkhurd, Belgaum District.",16.6525536,74.8196944,,KSPCB 17 Category List
218,"Sugar, Co-gen and
distillery","Shree Renuka Sugars Ltd,  Sy.No.377, Burlatti village, Athani kukatnur Road, Athani
Taluk, Belgaum District.",16.7229891,75.0789854,,KSPCB 17 Category List
219,"Sugar, Co-gen and
distillery","NSL Sugars (Previously M/s.SCM Sugars), Koppa, Maddur Tq., Mandya Dist",12.6998779,76.9787563,,KSPCB 17 Category List
220,"Sugar, Co-gen and
distillery","Shamanur Sugars, Duggavathi Village, Harapanahalli taluk, Davangere District",14.7809865,75.9869609,,KSPCB 17 Category List
221,"Sugar, Co-gen and distillery","Vijayanagar sugars Ltd, Gangapur Siranahalli villages, Mundargi Taluk, Gadag District.",15.1191346,75.8301537,,KSPCB 17 Category List
222,Thermal Power,"Bellary Thermal Power Station, KPC Ltd. Kudithini village, Bellary Taluk and
District.",15.1925397,76.7108305,,KSPCB 17 Category List
223,Thermal Power,"JSW Energy Limited, (2x300 & 2x130 MW), P.B.No.9, Toranagallu, Sandur Taluk,
Bellary District.",15.0886043,76.542089,,KSPCB 17 Category List
224,Thermal Power,"Raichur Thermal Power Co. Ltd., Shaktinagar, Raichur District.",16.3603632,77.3400834,,KSPCB 17 Category List
225,Thermal Power,"Udupi Power Corporation Ltd. Yellur Village, Nandikuru Post, Udupi District - 574138.",13.1605784,74.8036993,,KSPCB 17 Category List
226,Thermal Power,Yermarus Thermal Power Station (RTPS ) Chikasugur Raichur taluk and district,16.2952352,77.3562677,,KSPCB 17 Category List
227,Thermal Power,"N T P C Limited Kudigi Super Thermal Power Project Kudigi Basavanabagewadi
taluk Vijayapura district",16.4968044,75.8426516,,KSPCB 17 Category List
