Sl No,Name of STP,Implementing Agency,Operating Capacity,New/upgradation Capacity taken up ,Proposed Capacity (i.e construction has not started or approval is pending),Final capacity,Process,Status,Latitude,Longitude,Data Sources
32,Anjanapura ,BWSSB,,35,,35,SBR,Work proposed,,,"Data compiled from BWSSB Dashboard, BWSSB Dashboard 2, Media reports with lat,longs confirmed with Google Imagery "
33,Challaghatta STP 5 NPKL,BDA,,Not Known,,,,Under Construction,12.9078,77.4562,BDA NPKL  and Google Imagery
34,Challaghatta STP 5B NPKL,BDA,,Not Known,,,,Under Construction,12.89080832,77.4488,BDA NPKL  and Google Imagery
35,Challaghatta NPKL BLK6 STP-6,BDA,,Not Known,,,,Under Construction,12.9037,77.4431,BDA NPKL  and Google Imagery
36,NPKL BLK2 STP-2,BDA,,Not Known,,,,Under Construction,12.9526,77.4577,BDA NPKL  and Google Imagery
37,NPKL BLK1 Sector-H STP-1,BDA,,Not Known,,,,Under Construction,12.9697,77.4574,BDA NPKL  and Google Imagery
38,NPKL BLK3 STP-3 sector L,BDA,,Not Known,,,,Under Construction,12.9372,77.4551,BDA NPKL  and Google Imagery
39,NPKL BLK8 STP-8,BDA,,Not Known,,,,Under Construction,12.9375,77.4456,BDA NPKL  and Google Imagery
40,Chikka tumkur STP on Arkavathi River,KUWS&DB,,12,,12,WSP,Operational since ,13.2642,77.5390,
41,Doddaballapura STP,KUIDFC,,21,,21,SBR,Work Proposed,13.2642,77.5390,Deccan Herald Feb 2025
42,Kanakapura STP,KUWS&DB,,6.29,,6.29,WSP,Operational,12.5411,77.4183,Polluted Stretches MPR February 2026
43,Ramanagara STP,KUWS&DB,,7.56,,7.56,Aerated Lagoon,Operational,,,Polluted Stretches MPR February 2026
44,Magadi Puragrama STP,KUWS&DB,,3.7,,3.7,WSP,Operational but non-complying,12.9514,77.2265,Polluted Stretches MPR February 2026 (Location to be verified)
45,Heggadagere STP,KUWS&DB,,0.16,,0.16,MBBR,Under Construction,12.7617,77.3766,Polluted Stretches MPR February 2026 (Location to be verified)
